,College,F24 Enrollment Count,F24Retention Count,F24Success Count,F24Retention Rate,F24Success Rate,S24Enrollment Count,S24Retention Count,S24Success Count,S24Retention Rate,S24Success Rate,College Name
3,Business Administration-050500,40,39,27,97.50%,67.50%,84,79,52,94.05%,61.90%,Cuesta Total
4,"Business and Commerce, General-050100",2,2,2,100.00%,100.00%,38,37,36,97.37%,94.74%,Cuesta Total
5,Business Management-050600,62,51,43,82.26%,69.35%,64,54,44,84.38%,68.75%,Cuesta Total
6,Office Technology/Office Computer Applications-051400,697,695,644,99.71%,92.40%,629,624,573,99.21%,91.10%,Cuesta Total
7,Simultaneous Interaction (Internet Based) Total,69,61,38,88.41%,55.07%,0,0,0,0,0,Cuesta Total
8,Business Administration-050500,69,61,38,88.41%,55.07%,0,0,0,0,0,Cuesta Total
9,Cuyamaca Total,"1,576","1,393","1,176",88.39%,74.62%,"1,337","1,201",976,89.83%,73.00%,Cuyamaca Total
10,Delayed Interaction (Internet Based) Total,"1,402","1,238","1,054",88.30%,75.18%,"1,202","1,069",875,88.94%,72.80%,Cuyamaca Total
11,Accounting-050200,315,248,233,78.73%,73.97%,316,278,236,87.97%,74.68%,Cuyamaca Total
12,"Business and Commerce, General-050100",388,364,251,93.81%,64.69%,221,211,151,95.48%,68.33%,Cuyamaca Total
13,Business Management-050600,32,27,19,84.38%,59.38%,115,105,65,91.30%,56.52%,Cuyamaca Total
14,Office Technology/Office Computer Applications-051400,345,305,290,88.41%,84.06%,274,255,245,93.07%,89.42%,Cuyamaca Total
15,Real Estate-051100,322,294,261,91.30%,81.06%,230,186,151,80.87%,65.65%,Cuyamaca Total
16,Small Business and Entrepreneurship-050640,0,0,0,0,0,46,34,27,73.91%,58.70%,Cuyamaca Total
17,Non Distance Education Methods Total,174,155,122,89.08%,70.11%,135,132,101,97.78%,74.81%,Cuyamaca Total
18,Accounting-050200,90,79,70,87.78%,77.78%,42,41,34,97.62%,80.95%,Cuyamaca Total
19,"Business and Commerce, General-050100",72,68,45,94.44%,62.50%,49,48,25,97.96%,51.02%,Cuyamaca Total
20,Office Technology/Office Computer Applications-051400,7,5,5,71.43%,71.43%,39,39,39,100.00%,100.00%,Cuyamaca Total
21,Real Estate-051100,5,3,2,60.00%,40.00%,5,4,3,80.00%,60.00%,Cuyamaca Total
22,Cypress Total,"1,558","1,433","1,304",91.98%,83.70%,"1,437","1,258","1,119",87.54%,77.87%,Cypress Total
23,Delayed Interaction (Internet Based) Total,669,613,557,91.63%,83.26%,586,508,444,86.69%,75.77%,Cypress Total
24,Accounting-050200,386,349,323,90.41%,83.68%,390,350,298,89.74%,76.41%,Cypress Total
25,Advertising-050910,35,35,32,100.00%,91.43%,0,0,0,0,0,Cypress Total
26,Business Management-050600,134,124,108,92.54%,80.60%,99,86,82,86.87%,82.83%,Cypress Total
27,Management Development and Supervision-050630,37,36,34,97.30%,91.89%,0,0,0,0,0,Cypress Total
28,Marketing and Distribution-050900,53,47,40,88.68%,75.47%,76,58,50,76.32%,65.79%,Cypress Total
29,Office Technology/Office Computer Applications-051400,24,22,20,91.67%,83.33%,21,14,14,66.67%,66.67%,Cypress Total
30,Non Distance Education Methods Total,490,447,403,91.22%,82.24%,360,327,287,90.83%,79.72%,Cypress Total
31,Accounting-050200,44,42,40,95.45%,90.91%,20,20,20,100.00%,100.00%,Cypress Total
32,Business Management-050600,302,289,271,95.70%,89.74%,226,211,188,93.36%,83.19%,Cypress Total
33,Court Reporting-051430,144,116,92,80.56%,63.89%,114,96,79,84.21%,69.30%,Cypress Total
34,Simultaneous Interaction (Internet Based) Total,399,373,344,93.48%,86.22%,491,423,388,86.15%,79.02%,Cypress Total
35,Accounting-050200,87,77,63,88.51%,72.41%,127,109,83,85.83%,65.35%,Cypress Total
36,Business Management-050600,190,181,175,95.26%,92.11%,226,206,203,91.15%,89.82%,Cypress Total
37,Court Reporting-051430,91,87,82,95.60%,90.11%,99,93,88,93.94%,88.89%,Cypress Total
38,Marketing and Distribution-050900,0,0,0,0,0,39,15,14,38.46%,35.90%,Cypress Total
39,Small Business and Entrepreneurship-050640,31,28,24,90.32%,77.42%,0,0,0,0,0,Cypress Total
40,Deanza Total,"2,966","2,717","2,400",91.60%,80.92%,"2,688","2,450","2,073",91.15%,77.12%,Deanza Total
41,Delayed Interaction (Internet Based) Total,"1,677","1,503","1,331",89.62%,79.37%,"1,641","1,487","1,268",90.62%,77.27%,Deanza Total
42,Accounting-050200,505,473,445,93.66%,88.12%,531,510,467,96.05%,87.95%,Deanza Total
43,Banking and Finance-050400,31,29,26,93.55%,83.87%,32,30,23,93.75%,71.88%,Deanza Total
44,Business Administration-050500,566,503,452,88.87%,79.86%,526,466,405,88.59%,77.00%,Deanza Total
45,"Business and Commerce, General-050100",37,23,22,62.16%,59.46%,0,0,0,0,0,Deanza Total
46,Business Management-050600,93,73,70,78.49%,75.27%,77,66,59,85.71%,76.62%,Deanza Total
47,Marketing and Distribution-050900,132,126,98,95.45%,74.24%,134,114,91,85.07%,67.91%,Deanza Total
48,Real Estate-051100,178,152,113,85.39%,63.48%,199,168,124,84.42%,62.31%,Deanza Total
49,Small Business and Entrepreneurship-050640,40,38,25,95.00%,62.50%,85,77,50,90.59%,58.82%,Deanza Total
0,Tax Studies-050210,95,86,80,90.53%,84.21%,57,56,49,98.25%,85.96%,Deanza Total
1,Non Distance Education Methods Total,879,834,726,94.88%,82.59%,555,503,409,90.63%,73.69%,Deanza Total
2,Accounting-050200,378,351,312,92.86%,82.54%,236,213,174,90.25%,73.73%,Deanza Total
3,Business Administration-050500,483,465,396,96.27%,81.99%,297,269,218,90.57%,73.40%,Deanza Total
4,Business Management-050600,18,18,18,100.00%,100.00%,22,21,17,95.45%,77.27%,Deanza Total
5,Simultaneous Interaction (Internet Based) Total,410,380,343,92.68%,83.66%,492,460,396,93.50%,80.49%,Deanza Total
6,Accounting-050200,246,232,216,94.31%,87.80%,271,259,234,95.57%,86.35%,Deanza Total
7,Business Administration-050500,114,104,87,91.23%,76.32%,199,179,142,89.95%,71.36%,Deanza Total
8,Business Management-050600,5,5,5,100.00%,100.00%,22,22,20,100.00%,90.91%,Deanza Total
9,Marketing and Distribution-050900,45,39,35,86.67%,77.78%,0,0,0,0,0,Deanza Total
10,Desert Total,"2,206","1,870","1,484",84.77%,67.27%,"1,591","1,371","1,056",86.17%,66.37%,Desert Total
11,Delayed Interaction (Internet Based) Total,"1,491","1,210",941,81.15%,63.11%,"1,099",935,704,85.08%,64.06%,Desert Total
12,Accounting-050200,372,308,265,82.80%,71.24%,352,320,274,90.91%,77.84%,Desert Total
13,Banking and Finance-050400,35,25,18,71.43%,51.43%,0,0,0,0,0,Desert Total
14,"Business and Commerce, General-050100",631,529,412,83.84%,65.29%,445,386,266,86.74%,59.78%,Desert Total
15,Business Management-050600,96,68,58,70.83%,60.42%,79,48,38,60.76%,48.10%,Desert Total
16,Customer Service-051800,94,71,50,75.53%,53.19%,42,37,25,88.10%,59.52%,Desert Total
17,Marketing and Distribution-050900,0,0,0,0,0,38,19,16,50.00%,42.11%,Desert Total
18,Office Technology/Office Computer Applications-051400,242,189,123,78.10%,50.83%,101,91,67,90.10%,66.34%,Desert Total
19,Real Estate-051100,21,20,15,95.24%,71.43%,42,34,18,80.95%,42.86%,Desert Total
20,Non Distance Education Methods Total,715,660,543,92.31%,75.94%,492,436,352,88.62%,71.54%,Desert Total
21,Accounting-050200,99,94,75,94.95%,75.76%,87,75,58,86.21%,66.67%,Desert Total
22,Banking and Finance-050400,0,0,0,0,0,7,6,5,85.71%,71.43%,Desert Total
23,"Business and Commerce, General-050100",422,388,319,91.94%,75.59%,355,320,260,90.14%,73.24%,Desert Total
24,Business Management-050600,68,60,52,88.24%,76.47%,35,27,21,77.14%,60.00%,Desert Total
25,Customer Service-051800,0,0,0,0,0,8,8,8,100.00%,100.00%,Desert Total
26,Medical Office Technology-051420,126,118,97,93.65%,76.98%,0,0,0,0,0,Desert Total
27,Diablo Valley Total,"6,638","6,094","5,114",91.80%,77.04%,"3,229","2,943","2,484",91.14%,76.93%,Diablo Valley Total
28,Delayed Interaction (Internet Based) Total,"4,526","4,154","3,476",91.78%,76.80%,"2,378","2,144","1,803",90.16%,75.82%,Diablo Valley Total
29,Accounting-050200,"1,210","1,106",968,91.40%,80.00%,644,577,491,89.60%,76.24%,Diablo Valley Total
30,Advertising-050910,154,146,114,94.81%,74.03%,42,41,35,97.62%,83.33%,Diablo Valley Total
31,Business Administration-050500,"1,488","1,366","1,160",91.80%,77.96%,801,709,598,88.51%,74.66%,Diablo Valley Total
32,"Business and Commerce, General-050100",522,480,392,91.95%,75.10%,230,202,171,87.83%,74.35%,Diablo Valley Total
33,Business Management-050600,76,70,64,92.11%,84.21%,104,95,85,91.35%,81.73%,Diablo Valley Total
34,International Business and Trade-050800,70,60,56,85.71%,80.00%,33,30,25,90.91%,75.76%,Diablo Valley Total
35,Management Development and Supervision-050630,0,0,0,0,0,35,32,26,91.43%,74.29%,Diablo Valley Total
36,Marketing and Distribution-050900,448,404,354,90.18%,79.02%,242,229,193,94.63%,79.75%,Diablo Valley Total
37,Real Estate-051100,380,346,214,91.05%,56.32%,218,201,154,92.20%,70.64%,Diablo Valley Total
38,Small Business and Entrepreneurship-050640,178,176,154,98.88%,86.52%,0,0,0,0,0,Diablo Valley Total
39,Tax Studies-050210,0,0,0,0,0,29,28,25,96.55%,86.21%,Diablo Valley Total
40,Non Distance Education Methods Total,"2,044","1,900","1,608",92.95%,78.67%,851,799,681,93.89%,80.02%,Diablo Valley Total
41,Accounting-050200,322,298,258,92.55%,80.12%,141,134,114,95.04%,80.85%,Diablo Valley Total
42,Business Administration-050500,"1,436","1,328","1,140",92.48%,79.39%,501,467,395,93.21%,78.84%,Diablo Valley Total
43,"Business and Commerce, General-050100",140,134,98,95.71%,70.00%,134,125,108,93.28%,80.60%,Diablo Valley Total
44,Business Management-050600,60,58,54,96.67%,90.00%,41,41,38,100.00%,92.68%,Diablo Valley Total
45,Marketing and Distribution-050900,86,82,58,95.35%,67.44%,0,0,0,0,0,Diablo Valley Total
46,Small Business and Entrepreneurship-050640,0,0,0,0,0,34,32,26,94.12%,76.47%,Diablo Valley Total
47,Simultaneous Interaction (Internet Based) Total,68,40,30,58.82%,44.12%,0,0,0,0,0,Diablo Valley Total
48,Tax Studies-050210,68,40,30,58.82%,44.12%,0,0,0,0,0,Diablo Valley Total
49,East LA Total,"3,738","3,251","2,279",86.97%,60.97%,"3,937","3,144","1,830",79.86%,46.48%,East LA Total
0,Delayed Interaction (Internet Based) Total,"3,075","2,659","1,815",86.47%,59.02%,"3,419","2,698","1,477",78.91%,43.20%,East LA Total
1,Accounting-050200,633,543,449,85.78%,70.93%,980,765,499,78.06%,50.92%,East LA Total
2,Banking and Finance-050400,198,185,146,93.43%,73.74%,370,307,97,82.97%,26.22%,East LA Total
3,Business Administration-050500,829,685,464,82.63%,55.97%,741,536,248,72.33%,33.47%,East LA Total
4,Business Management-050600,32,32,27,100.00%,84.38%,157,138,79,87.90%,50.32%,East LA Total
5,International Business and Trade-050800,46,19,9,41.30%,19.57%,37,19,10,51.35%,27.03%,East LA Total
6,Logistics and Materials Transportation-051000,233,215,132,92.27%,56.65%,241,199,142,82.57%,58.92%,East LA Total
7,Management Development and Supervision-050630,28,27,20,96.43%,71.43%,29,22,15,75.86%,51.72%,East LA Total
8,Marketing and Distribution-050900,91,78,41,85.71%,45.05%,91,75,48,82.42%,52.75%,East LA Total
9,Office Technology/Office Computer Applications-051400,620,539,315,86.94%,50.81%,649,520,261,80.12%,40.22%,East LA Total
10,Real Estate-051100,305,286,183,93.77%,60.00%,124,117,78,94.35%,62.90%,East LA Total
11,Small Business and Entrepreneurship-050640,60,50,29,83.33%,48.33%,0,0,0,0,0,East LA Total
12,Non Distance Education Methods Total,522,466,350,89.27%,67.05%,369,337,277,91.33%,75.07%,East LA Total
13,Accounting-050200,206,178,142,86.41%,68.93%,124,113,101,91.13%,81.45%,East LA Total
14,Business Administration-050500,251,233,169,92.83%,67.33%,173,161,130,93.06%,75.14%,East LA Total
15,Office Technology/Office Computer Applications-051400,18,18,12,100.00%,66.67%,21,21,14,100.00%,66.67%,East LA Total
16,Real Estate-051100,47,37,27,78.72%,57.45%,51,42,32,82.35%,62.75%,East LA Total
17,Simultaneous Interaction (Internet Based) Total,141,126,114,89.36%,80.85%,149,109,76,73.15%,51.01%,East LA Total
18,Accounting-050200,114,103,95,90.35%,83.33%,70,68,62,97.14%,88.57%,East LA Total
19,Business Administration-050500,0,0,0,0,0,79,41,14,51.90%,17.72%,East LA Total
20,Marketing and Distribution-050900,12,8,7,66.67%,58.33%,0,0,0,0,0,East LA Total
21,Real Estate-051100,15,15,12,100.00%,80.00%,0,0,0,0,0,East LA Total
22,El Camino Total,"3,301","2,838","2,353",85.97%,71.28%,"2,808","2,397","2,077",85.36%,73.97%,El Camino Total
23,Delayed Interaction (Internet Based) Total,"1,674","1,444","1,231",86.26%,73.54%,"1,581","1,348","1,167",85.26%,73.81%,El Camino Total
24,Accounting-050200,436,361,306,82.80%,70.18%,484,381,331,78.72%,68.39%,El Camino Total
25,Banking and Finance-050400,73,72,65,98.63%,89.04%,80,73,47,91.25%,58.75%,El Camino Total
26,Business Management-050600,366,285,245,77.87%,66.94%,377,309,262,81.96%,69.50%,El Camino Total
27,Escrow-051110,29,29,9,100.00%,31.03%,0,0,0,0,0,El Camino Total
28,Management Development and Supervision-050630,41,41,37,100.00%,90.24%,0,0,0,0,0,El Camino Total
29,Marketing and Distribution-050900,38,38,35,100.00%,92.11%,41,33,30,80.49%,73.17%,El Camino Total
30,Office Technology/Office Computer Applications-051400,66,62,48,93.94%,72.73%,46,42,34,91.30%,73.91%,El Camino Total
31,Other Business and Management-059900,204,180,145,88.24%,71.08%,185,165,144,89.19%,77.84%,El Camino Total
32,Real Estate-051100,358,340,313,94.97%,87.43%,311,300,280,96.46%,90.03%,El Camino Total
33,Retail Store Operations and Management-050650,26,9,5,34.62%,19.23%,20,16,15,80.00%,75.00%,El Camino Total
34,Small Business and Entrepreneurship-050640,37,27,23,72.97%,62.16%,37,29,24,78.38%,64.86%,El Camino Total
35,Non Distance Education Methods Total,"1,627","1,394","1,122",85.68%,68.96%,"1,227","1,049",910,85.49%,74.16%,El Camino Total
36,Accounting-050200,592,490,404,82.77%,68.24%,455,375,329,82.42%,72.31%,El Camino Total
37,Advertising-050910,0,0,0,0,0,16,14,14,87.50%,87.50%,El Camino Total
38,Banking and Finance-050400,193,161,96,83.42%,49.74%,128,111,77,86.72%,60.16%,El Camino Total
39,"Business and Commerce, General-050100",24,22,19,91.67%,79.17%,19,17,11,89.47%,57.89%,El Camino Total
40,Business Management-050600,390,338,282,86.67%,72.31%,256,223,193,87.11%,75.39%,El Camino Total
41,Management Development and Supervision-050630,70,57,53,81.43%,75.71%,86,72,67,83.72%,77.91%,El Camino Total
42,Marketing and Distribution-050900,43,33,27,76.74%,62.79%,30,25,22,83.33%,73.33%,El Camino Total
43,Other Business and Management-059900,77,71,54,92.21%,70.13%,57,52,48,91.23%,84.21%,El Camino Total
44,Real Estate-051100,182,177,152,97.25%,83.52%,168,149,139,88.69%,82.74%,El Camino Total
45,Small Business and Entrepreneurship-050640,56,45,35,80.36%,62.50%,12,11,10,91.67%,83.33%,El Camino Total
46,Evergreen Valley Total,"1,450","1,318","1,069",90.90%,73.72%,"1,317","1,190",990,90.36%,75.17%,Evergreen Valley Total
47,Delayed Interaction (Internet Based) Total,910,815,670,89.56%,73.63%,817,742,625,90.82%,76.50%,Evergreen Valley Total
48,Accounting-050200,225,206,153,91.56%,68.00%,285,244,200,85.61%,70.18%,Evergreen Valley Total
49,"Business and Commerce, General-050100",352,312,279,88.64%,79.26%,258,244,223,94.57%,86.43%,Evergreen Valley Total
0,Management Development and Supervision-050630,49,48,31,97.96%,63.27%,33,32,21,96.97%,63.64%,Evergreen Valley Total
1,Medical Office Technology-051420,192,169,139,88.02%,72.40%,136,132,116,97.06%,85.29%,Evergreen Valley Total
2,Office Technology/Office Computer Applications-051400,81,72,60,88.89%,74.07%,89,76,60,85.39%,67.42%,Evergreen Valley Total
3,Small Business and Entrepreneurship-050640,11,8,8,72.73%,72.73%,16,14,5,87.50%,31.25%,Evergreen Valley Total
4,Non Distance Education Methods Total,540,503,399,93.15%,73.89%,474,428,351,90.30%,74.05%,Evergreen Valley Total
5,Accounting-050200,201,179,143,89.05%,71.14%,169,146,124,86.39%,73.37%,Evergreen Valley Total
6,"Business and Commerce, General-050100",206,201,148,97.57%,71.84%,187,178,135,95.19%,72.19%,Evergreen Valley Total
7,Marketing and Distribution-050900,48,48,48,100.00%,100.00%,0,0,0,0,0,Evergreen Valley Total
8,Medical Office Technology-051420,23,23,23,100.00%,100.00%,48,44,41,91.67%,85.42%,Evergreen Valley Total
9,Office Technology/Office Computer Applications-051400,39,30,17,76.92%,43.59%,31,21,13,67.74%,41.94%,Evergreen Valley Total
10,Small Business and Entrepreneurship-050640,0,0,0,0,0,39,39,38,100.00%,97.44%,Evergreen Valley Total
11,Tax Studies-050210,23,22,20,95.65%,86.96%,0,0,0,0,0,Evergreen Valley Total
12,"Text one-way (e.g. newspaper, correspondence, etc.) Total",0,0,0,0,0,26,20,14,76.92%,53.85%,"Text one-way (e.g. newspaper, correspondence, etc.) Total"
13,"Business and Commerce, General-050100",0,0,0,0,0,26,20,14,76.92%,53.85%,"Text one-way (e.g. newspaper, correspondence, etc.) Total"
14,Feather River Total,235,221,195,94.04%,82.98%,218,206,188,94.50%,86.24%,Feather River Total
15,Delayed Interaction (Internet Based) Total,17,15,8,88.24%,47.06%,101,99,91,98.02%,90.10%,Feather River Total
16,Banking and Finance-050400,0,0,0,0,0,17,16,13,94.12%,76.47%,Feather River Total
17,"Business and Commerce, General-050100",0,0,0,0,0,75,75,70,100.00%,93.33%,Feather River Total
18,Medical Office Technology-051420,7,5,3,71.43%,42.86%,9,8,8,88.89%,88.89%,Feather River Total
19,Office Technology/Office Computer Applications-051400,10,10,5,100.00%,50.00%,0,0,0,0,0,Feather River Total
20,Non Distance Education Methods Total,118,111,108,94.07%,91.53%,32,29,27,90.63%,84.38%,Feather River Total
21,Accounting-050200,39,36,35,92.31%,89.74%,28,26,25,92.86%,89.29%,Feather River Total
22,"Business and Commerce, General-050100",65,62,60,95.38%,92.31%,4,3,2,75.00%,50.00%,Feather River Total
23,Business Management-050600,5,5,5,100.00%,100.00%,0,0,0,0,0,Feather River Total
24,Marketing and Distribution-050900,8,7,7,87.50%,87.50%,0,0,0,0,0,Feather River Total
25,Office Technology/Office Computer Applications-051400,1,1,1,100.00%,100.00%,0,0,0,0,0,Feather River Total
26,"Text one-way (e.g. newspaper, correspondence, etc.) Total",100,95,79,95.00%,79.00%,85,78,70,91.76%,82.35%,"Text one-way (e.g. newspaper, correspondence, etc.) Total"
27,Accounting-050200,40,38,26,95.00%,65.00%,33,29,26,87.88%,78.79%,"Text one-way (e.g. newspaper, correspondence, etc.) Total"
28,"Business and Commerce, General-050100",25,24,24,96.00%,96.00%,27,25,24,92.59%,88.89%,"Text one-way (e.g. newspaper, correspondence, etc.) Total"
29,Business Management-050600,20,18,14,90.00%,70.00%,13,12,10,92.31%,76.92%,"Text one-way (e.g. newspaper, correspondence, etc.) Total"
30,Marketing and Distribution-050900,15,15,15,100.00%,100.00%,12,12,10,100.00%,83.33%,"Text one-way (e.g. newspaper, correspondence, etc.) Total"
31,Folsom Lake Total,"2,026","1,748","1,555",86.28%,76.75%,"1,804","1,559","1,391",86.42%,77.11%,Folsom Lake Total
32,Delayed Interaction (Internet Based) Total,"1,689","1,444","1,279",85.49%,75.73%,"1,540","1,322","1,179",85.84%,76.56%,Folsom Lake Total
33,Accounting-050200,417,369,321,88.49%,76.98%,395,342,301,86.58%,76.20%,Folsom Lake Total
34,Business Administration-050500,225,202,192,89.78%,85.33%,206,196,178,95.15%,86.41%,Folsom Lake Total
35,"Business and Commerce, General-050100",524,436,383,83.21%,73.09%,525,443,416,84.38%,79.24%,Folsom Lake Total
36,Business Management-050600,239,192,178,80.33%,74.48%,145,111,91,76.55%,62.76%,Folsom Lake Total
37,E-Commerce (Business emphasis)-050970,0,0,0,0,0,23,22,21,95.65%,91.30%,Folsom Lake Total
38,Marketing and Distribution-050900,32,26,22,81.25%,68.75%,57,45,31,78.95%,54.39%,Folsom Lake Total
39,Office Technology/Office Computer Applications-051400,128,112,89,87.50%,69.53%,106,89,76,83.96%,71.70%,Folsom Lake Total
40,Real Estate-051100,124,107,94,86.29%,75.81%,83,74,65,89.16%,78.31%,Folsom Lake Total
41,Non Distance Education Methods Total,337,304,276,90.21%,81.90%,264,237,212,89.77%,80.30%,Folsom Lake Total
42,Accounting-050200,134,127,115,94.78%,85.82%,108,106,91,98.15%,84.26%,Folsom Lake Total
43,Business Administration-050500,114,99,98,86.84%,85.96%,19,12,12,63.16%,63.16%,Folsom Lake Total
44,"Business and Commerce, General-050100",86,76,61,88.37%,70.93%,0,0,0,0,0,Folsom Lake Total
45,Business Management-050600,1,1,1,100.00%,100.00%,86,74,69,86.05%,80.23%,Folsom Lake Total
46,Marketing and Distribution-050900,2,1,1,50.00%,50.00%,51,45,40,88.24%,78.43%,Folsom Lake Total
47,Foothill Total,"2,300","2,178","1,985",94.70%,86.30%,"1,993","1,861","1,721",93.38%,86.35%,Foothill Total
48,Delayed Interaction (Internet Based) Total,"2,045","1,941","1,807",94.91%,88.36%,"1,799","1,682","1,567",93.50%,87.10%,Foothill Total
49,Accounting-050200,"1,465","1,405","1,334",95.90%,91.06%,"1,335","1,274","1,200",95.43%,89.89%,Foothill Total
0,Business Administration-050500,465,433,384,93.12%,82.58%,330,295,268,89.39%,81.21%,Foothill Total
1,Business Management-050600,115,103,89,89.57%,77.39%,119,99,85,83.19%,71.43%,Foothill Total
2,Retail Store Operations and Management-050650,0,0,0,0,0,15,14,14,93.33%,93.33%,Foothill Total
3,Non Distance Education Methods Total,255,237,178,92.94%,69.80%,194,179,154,92.27%,79.38%,Foothill Total
4,Accounting-050200,52,45,25,86.54%,48.08%,65,60,50,92.31%,76.92%,Foothill Total
5,Business Administration-050500,203,192,153,94.58%,75.37%,129,119,104,92.25%,80.62%,Foothill Total
6,Fresno City Total,"3,163","2,880","2,362",91.05%,74.68%,"2,806","2,538","2,141",90.45%,76.30%,Fresno City Total
7,Delayed Interaction (Internet Based) Total,"2,305","2,098","1,728",91.02%,74.97%,"2,197","1,979","1,679",90.08%,76.42%,Fresno City Total
8,Accounting-050200,678,614,518,90.56%,76.40%,658,592,512,89.97%,77.81%,Fresno City Total
9,Advertising-050910,34,30,29,88.24%,85.29%,0,0,0,0,0,Fresno City Total
10,Banking and Finance-050400,39,36,26,92.31%,66.67%,0,0,0,0,0,Fresno City Total
11,Business Administration-050500,568,511,390,89.96%,68.66%,503,446,360,88.67%,71.57%,Fresno City Total
12,Business Management-050600,372,342,292,91.94%,78.49%,283,260,217,91.87%,76.68%,Fresno City Total
13,E-Commerce (Business emphasis)-050970,26,20,18,76.92%,69.23%,0,0,0,0,0,Fresno City Total
14,Marketing and Distribution-050900,208,200,189,96.15%,90.87%,119,110,100,92.44%,84.03%,Fresno City Total
15,Medical Office Technology-051420,92,79,63,85.87%,68.48%,61,50,44,81.97%,72.13%,Fresno City Total
16,Office Technology/Office Computer Applications-051400,158,154,119,97.47%,75.32%,428,392,346,91.59%,80.84%,Fresno City Total
17,Sales and Salesmanship-050940,0,0,0,0,0,27,22,20,81.48%,74.07%,Fresno City Total
18,Small Business and Entrepreneurship-050640,95,78,53,82.11%,55.79%,102,92,68,90.20%,66.67%,Fresno City Total
19,Tax Studies-050210,35,34,31,97.14%,88.57%,16,15,12,93.75%,75.00%,Fresno City Total
20,Non Distance Education Methods Total,852,778,630,91.31%,73.94%,594,545,448,91.75%,75.42%,Fresno City Total
21,Accounting-050200,219,199,161,90.87%,73.52%,191,169,130,88.48%,68.06%,Fresno City Total
22,Business Administration-050500,361,320,252,88.64%,69.81%,262,244,205,93.13%,78.24%,Fresno City Total
23,Business Management-050600,0,0,0,0,0,1,1,1,100.00%,100.00%,Fresno City Total
24,Marketing and Distribution-050900,0,0,0,0,0,12,12,9,100.00%,75.00%,Fresno City Total
25,Medical Office Technology-051420,16,14,14,87.50%,87.50%,11,10,10,90.91%,90.91%,Fresno City Total
26,Office Technology/Office Computer Applications-051400,131,121,83,92.37%,63.36%,34,29,23,85.29%,67.65%,Fresno City Total
27,Real Estate-051100,125,124,120,99.20%,96.00%,83,80,70,96.39%,84.34%,Fresno City Total
28,Simultaneous Interaction (Internet Based) Total,6,4,4,66.67%,66.67%,15,14,14,93.33%,93.33%,Fresno City Total
29,Accounting-050200,0,0,0,0,0,15,14,14,93.33%,93.33%,Fresno City Total
30,Office Technology/Office Computer Applications-051400,6,4,4,66.67%,66.67%,0,0,0,0,0,Fresno City Total
31,Fullerton Total,"4,547","3,819","2,967",83.99%,65.25%,"4,690","3,757","3,022",80.11%,64.43%,Fullerton Total
32,Delayed Interaction (Internet Based) Total,"2,979","2,443","1,921",82.01%,64.48%,"3,563","2,814","2,246",78.98%,63.04%,Fullerton Total
33,Accounting-050200,519,422,359,81.31%,69.17%,563,429,362,76.20%,64.30%,Fullerton Total
34,Banking and Finance-050400,366,335,235,91.53%,64.21%,455,407,317,89.45%,69.67%,Fullerton Total
35,Business Administration-050500,474,411,302,86.71%,63.71%,516,425,337,82.36%,65.31%,Fullerton Total
36,Business Management-050600,696,509,440,73.13%,63.22%,897,684,519,76.25%,57.86%,Fullerton Total
37,E-Commerce (Business emphasis)-050970,48,36,30,75.00%,62.50%,61,39,32,63.93%,52.46%,Fullerton Total
38,Escrow-051110,28,23,22,82.14%,78.57%,28,18,15,64.29%,53.57%,Fullerton Total
39,International Business and Trade-050800,108,82,60,75.93%,55.56%,123,93,73,75.61%,59.35%,Fullerton Total
40,Logistics and Materials Transportation-051000,48,34,19,70.83%,39.58%,0,0,0,0,0,Fullerton Total
41,Marketing and Distribution-050900,391,331,253,84.65%,64.71%,574,437,363,76.13%,63.24%,Fullerton Total
42,Real Estate-051100,231,212,158,91.77%,68.40%,299,239,188,79.93%,62.88%,Fullerton Total
43,Small Business and Entrepreneurship-050640,70,48,43,68.57%,61.43%,47,43,40,91.49%,85.11%,Fullerton Total
44,Non Distance Education Methods Total,"1,526","1,338","1,008",87.68%,66.06%,"1,127",943,776,83.67%,68.86%,Fullerton Total
45,Accounting-050200,440,387,322,87.95%,73.18%,432,360,303,83.33%,70.14%,Fullerton Total
46,Banking and Finance-050400,137,124,89,90.51%,64.96%,136,120,88,88.24%,64.71%,Fullerton Total
47,Business Administration-050500,84,70,57,83.33%,67.86%,45,39,34,86.67%,75.56%,Fullerton Total
48,Business Management-050600,624,552,383,88.46%,61.38%,376,305,247,81.12%,65.69%,Fullerton Total
49,Labor and Industrial Relations-051600,17,16,15,94.12%,88.24%,18,18,18,100.00%,100.00%,Fullerton Total
0,Marketing and Distribution-050900,70,55,43,78.57%,61.43%,65,54,42,83.08%,64.62%,Fullerton Total
1,Real Estate-051100,126,115,82,91.27%,65.08%,55,47,44,85.45%,80.00%,Fullerton Total
2,Small Business and Entrepreneurship-050640,28,19,17,67.86%,60.71%,0,0,0,0,0,Fullerton Total
3,Simultaneous Interaction (Internet Based) Total,42,38,38,90.48%,90.48%,0,0,0,0,0,Fullerton Total
4,Accounting-050200,42,38,38,90.48%,90.48%,0,0,0,0,0,Fullerton Total
5,Gavilan Total,694,636,526,91.64%,75.79%,707,634,514,89.67%,72.70%,Gavilan Total
6,Delayed Interaction (Internet Based) Total,303,272,229,89.77%,75.58%,366,327,274,89.34%,74.86%,Gavilan Total
